epoch,step,train_acc,train_loss,val_acc,val_loss
0,12,,,0.2857142984867096,1.2411621809005737
0,12,0.38461539149284363,1.2150874137878418,,
1,25,,,0.5714285969734192,1.4060524702072144
1,25,0.38461539149284363,1.0597262382507324,,
2,38,,,0.4285714328289032,1.2899428606033325
2,38,0.4615384638309479,0.9436030983924866,,
3,51,,,0.4285714328289032,1.4098132848739624
3,51,0.5769230723381042,0.8230870962142944,,
4,64,,,0.4285714328289032,1.5836584568023682
4,64,0.5769230723381042,0.8474083542823792,,
