epoch,step,train_acc,train_loss,val_acc,val_loss
0,25,,,0.5714285969734192,1.2538634538650513
0,25,0.26923078298568726,1.542621374130249,,
1,51,,,0.5714285969734192,1.1203365325927734
1,51,0.42307692766189575,1.1822746992111206,,
2,77,,,0.5714285969734192,1.1718565225601196
2,77,0.42307692766189575,1.1215784549713135,,
3,103,,,0.5714285969734192,1.283092737197876
3,103,0.42307692766189575,0.9926918745040894,,
4,129,,,0.5714285969734192,1.2548900842666626
4,129,0.42307692766189575,0.9140281081199646,,
