epoch,step,train_acc,train_loss,val_acc,val_loss
0,41,,,0.3888888955116272,1.3282564878463745
0,41,0.488095223903656,0.8289418816566467,,
1,83,,,0.3888888955116272,1.3473830223083496
1,83,0.4761904776096344,0.7641910314559937,,
