epoch,step,train_acc,train_loss,val_acc,val_loss
0,41,,,0.3888888955116272,1.3075885772705078
0,41,0.2023809552192688,1.2338874340057373,,
1,83,,,0.3888888955116272,1.2979793548583984
1,83,0.3333333432674408,1.1781724691390991,,
2,125,,,0.3888888955116272,1.283006191253662
2,125,0.3333333432674408,1.152099370956421,,
3,167,,,0.3888888955116272,1.286160945892334
3,167,0.3571428656578064,1.1356316804885864,,
4,209,,,0.3888888955116272,1.3022994995117188
4,209,0.3214285671710968,1.1389635801315308,,
